0.193581
193 997
8 102749831 doc2
9 111403792 doc2
16 96891467 doc2
17 105755795 doc2
21 95669965 doc2
23 100478680 doc2
25 102857453 doc2
29 3321452 doc2
44 95674158 doc2
45 105002091 doc2
52 96887515 doc2
60 108525504 doc2
65 3347991 doc2
77 103785783 A B
85 3091782 doc2
92 102818708 doc2
95 96594440 doc2
96 108697024 doc2
101 115101757 doc2
103 94673229 doc2
112 3552423 doc2
113 98615377 doc2
115 96811806 doc2
118 109441805 doc2
119 109314190 doc2
120 102911457 doc2
129 96832757 doc2
132 96627378 doc2
141 3492632 doc2
142 108815 doc2
147 115046968 doc2
148 96619693 doc2
151 99104942 doc2
153 108826 doc2
159 104263428 A B
160 108881533 doc2
166 111626280 doc2
176 3124774 doc2
180 107856 doc2
181 3145716 doc2
184 3212518 doc2
185 95745086 doc2
187 100134879 doc2
191 114846 A B
192 96296434 doc2
200 3540547 doc2
217 106018206 doc2
220 3286332 doc2
221 97342316 doc2
222 100534711 doc2
223 96303444 doc2
224 110118874 doc2
236 3200606 doc2
237 3436896 doc2
238 3360316 doc2
240 3300310 doc2
242 96720209 doc2
247 96863782 doc2
255 100481903 doc2
258 109502762 doc2
260 3212845 doc2
263 97201781 doc2
267 100538744 doc2
274 119914 doc2
284 3119897 doc2
287 110130901 doc2
296 93627569 doc2
307 96351384 doc2
309 96844484 doc2
312 105724295 doc2
316 3301383 doc2
330 105897682 doc2
333 96806042 doc2
334 104705274 doc2
335 104700290 doc2
336 93026418 doc2
347 3117966 doc2
359 106543767 doc2
363 96887826 doc2
367 93150077 doc2
380 112216718 doc2
389 111229697 doc2
391 3286503 doc2
397 98238795 doc2
404 110509878 doc2
417 110163932 doc2
421 115315435 doc2
423 106964565 doc2
426 96845018 doc2
430 110509904 doc2
431 109195163 doc2
433 96457192 doc2
435 3321442 doc2
445 3445080 doc2
457 95733461 doc2
465 96488131 doc2
466 109433180 doc2
467 105865915 doc2
479 96576878 doc2
481 119820 doc2
488 104577278 doc2
492 3124093 doc2
493 96846082 doc2
494 3539844 doc2
497 96662638 doc2
504 99207 doc2
509 104968657 doc2
510 111177 doc2
511 96351588 doc2
515 95592875 doc2
517 3092214 doc2
520 108380 doc2
524 108685488 doc2
526 110364603 doc2
535 96720502 doc2
537 96930871 doc2
546 3357445 doc2
551 3539842 doc2
552 96661696 doc2
561 111200956 doc2
562 94658733 doc2
571 97320942 doc2
589 98496213 doc2
590 108695524 A B
595 102978581 doc2
601 93078527 doc2
604 94429465 doc2
608 110134200 doc2
610 100285050 doc2
626 99329 doc2
628 105958797 doc2
642 99345 doc2
650 107032588 doc2
653 96901077 doc2
661 110128284 doc2
662 115315676 doc2
664 3300734 doc2
672 97691717 doc2
678 115254875 doc2
691 111407465 doc2
695 106424463 doc2
700 108833 doc2
704 96814389 doc2
707 3294795 doc2
720 108686565 doc2
732 109442419 doc2
737 93077666 doc2
754 102848119 doc2
758 109731575 doc2
773 104823359 doc2
774 110127400 doc2
776 96799506 doc2
780 110684729 B
781 111605958 doc2
787 104700742 doc2
801 94925171 doc2
804 95595158 doc2
808 74219482 doc2
809 100301003 doc2
819 96661881 doc2
822 115374659 doc2
823 3109469 doc2
836 96828305 doc2
841 96573252 doc2
848 92906293 doc2
852 3177294 doc2
866 92867428 doc2
870 102744711 doc2
875 3710712 doc2
881 94550379 doc2
883 94821565 doc2
888 3560178 doc2
889 3389692 doc2
900 106875312 doc2
906 106778609 doc2
911 98496535 doc2
912 109207307 doc2
914 96364952 doc2
922 98295694 doc2
929 93505523 doc2
930 96363971 doc2
945 3324943 doc2
951 99602248 doc2
956 101866440 doc2
957 3324955 doc2
967 92598339 doc2
971 111522400 doc2
975 3711809 doc2
979 108389834 doc2
983 116408709 doc2
988 106081788 doc2
989 96846578 doc2
991 3556293 A B
