,TRUE BELIEVER,THE DA VINCI CODE,THE WORLD IS FLAT,MY LIFE SO FAR,THE TAKING,THE KITE RUNNER,RUNNY BABBIT,HARRY POTTER,MEAN,,,,,,,,,
U1,2.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,1.38,,,,,,,,,
U2,,5.0, , ,3.0,2.0,1.0,,2.75,,,,,,,,,
U3,3.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,1.63,1.375,-1.375,2.375,-0.375,2.375,-2.375,2.375,2.625,7.000
U4,0.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,1.38,-1.375,4.375,-4.375,4.375,-0.375,1.375,-1.375,4.375,7.000
U5,2.0,4.0,3.0,,,2.0,1.0,,,,,,,,,,,
U6,5.0,4.0,,3.0,1.0,,3.0,1.0,,,,,,,,,,
U7,1.0,4.0,5.0,5.0,3.0,,,4.0,,,,,,,,,,
U8,2.0,2.0,,,4.0,5.0,1.0,,,,,,,,,,,
U9, ,,4.0,2.0,1.0,,,5.0,,,,,,,,,,
U10,3.0,5.0,1.0,,,,4.0,4.0,,,,,,,,,,
U11,2.0, ,2.0,4.0,,1.0,,2.0,,,,,,,,,,
U12,5.0,4.0,,2.0,,1.0,1.0,3.0,,,,,,,,,,
U13, , ,2.0,,4.0,,4.0,5.0,,,,,,,,,,
U14, ,1.0,2.0,3.0,4.0,,5.0,5.0,,,,,,,,,,
U15,,3.0,,,5.0,3.0,,2.0,,,,,,,,,,
U16,,3.0,2.0,1.0,1.0,,4.0,,,,,,,,,,,
U17,1.0,5.0,1.0,2.0,,4.0,,4.0,,,,,,,,,,
U18,5.0, ,4.0,,2.0,1.0,3.0,5.0,,,,,,,,,,
U19, ,3.0,,2.0,,4.0,1.0,4.0,,,,,,,,,,
U20,2.0,5.0,1.0,1.0,5.0,4.0,,4.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NU1,4.0,,5.0,3.0,2.0,3.0,,4.0,,,,,,,,,,
NU2,,5.0,2.0,5.0,3.0,,2.0,,,,,,,,,,,
NU3,2.0,1.0,,,2.0,3.0,4.0,1.0,,,,,,,,,,
NU4,3.0,5.0,1.0,1.0,,1.0,,3.0,,,,,,,,,,
NU5,,2.0,3.0,2.0,1.0,,3.0,,,,,,,,,,,
